FromCityCode,FromCity,FromCountry,ToCityCode,ToCity,ToCountry,Nr.,AirlineCode,Distance
CCS,Caracas,Venezuela,AUA,Aruba,Netherlands,AeroLanka,QL,243
CCS,Caracas,Venezuela,BLA,Barcelona,Venezuela,AeroLanka,QL,159
BLA,Barcelona,Venezuela,CCS,Caracas,Venezuela,AeroLanka,QL,159
MAR,Maracaibo,Venezuela,CCS,Caracas,Venezuela,AeroLanka,QL,321
PMV,Porlamar,Venezuela,CCS,Caracas,Venezuela,AeroLanka,QL,206
CCS,Caracas,Venezuela,MAR,Maracaibo,Venezuela,AeroLanka,QL,321
CCS,Caracas,Venezuela,PMV,Porlamar,Venezuela,AeroLanka,QL,206
VLN,Valencia,Venezuela,PMV,Porlamar,Venezuela,AeroLanka,QL,274
CCS,Caracas,Venezuela,STD,SantoDomingo,Venezuela,AeroLanka,QL,402
CCS,Caracas,Venezuela,VIG,ElVigia,Venezuela,AeroLanka,QL,346
PMV,Porlamar,Venezuela,VLN,Valencia,Venezuela,AeroLanka,QL,274
CCS,Caracas,Venezuela,EZE,BuenosAires,Argentina,AerolineasArgentinas,AR,3185
CCS,Caracas,Venezuela,MEX,MexicoCity,Mexico,AeroMéxico,AM,2220
CCS,Caracas,Venezuela,MAD,Madrid,Spain,AirEuropa,UX,4350
CCS,Caracas,Venezuela,CDG,Paris,France,AirFrance,AF,4739
CCS,Caracas,Venezuela,FCO,Rome,Italy,Alitalia,AZ,5176
CCS,Caracas,Venezuela,DFW,Dallas,USA,AmericanAirlines,AA,2449
CCS,Caracas,Venezuela,JFK,NewYork,USA,AmericanAirlines,AA,2115
CCS,Caracas,Venezuela,MIA,Miami,USA,AmericanAirlines,AA,1362
MAR,Maracaibo,Venezuela,MIA,Miami,USA,AmericanAirlines,AA,1191
CCS,Caracas,Venezuela,SJU,SanJuan,PuertoRico,AmericanAirlines,AA,545
CCS,Caracas,Venezuela,AUA,Aruba,Netherlands,AsercaAirlines,R7,243
CCS,Caracas,Venezuela,BLA,Barcelona,Venezuela,AsercaAirlines,R7,159
VLN,Valencia,Venezuela,BLA,Barcelona,Venezuela,AsercaAirlines,R7,220
