date,IATA,airline-ID,source-code,source-city,source-country, source-airport-id,destination-code,destination-city,destination-country, destination-airport-id, equipment
01/01/2012,3P,5002,AUA,Aruba,Aruba,2895,LSP,Paraguana,Venezuela,2844,SH6
01/01/2012,3P,5002,AUA,Aruba,Aruba,2895,MAR,Maracaibo,Venezuela,2848,SH6
01/01/2012,7I,18944,AUA,Aruba,Aruba,2895,CCS,Caracas,Venezuela,2851,M83
01/01/2012,7I,18944,AUA,Aruba,Aruba,2895,VLN,Valencia,Venezuela,2868,M83
01/01/2012,8I,3534,AUA,Aruba,Aruba,2895,CCS,Caracas,Venezuela,2851,M82
01/01/2012,8I,3534,AUA,Aruba,Aruba,2895,VLN,Valencia,Venezuela,2868,M82
01/01/2012,9V,20004,AUA,Aruba,Aruba,2895,CCS,Caracas,Venezuela,2851,732
01/01/2012,9V,20004,AUA,Aruba,Aruba,2895,MAR,Maracaibo,Venezuela,2848,732
01/01/2012,G3,1790,AUA,Aruba,Aruba,2895,CCS,Caracas,Venezuela,2851,738
01/01/2012,QL,1206,AUA,Aruba,Aruba,2895,CCS,Caracas,Venezuela,2851,D93
01/01/2012,R7,622,AUA,Aruba,Aruba,2895,CCS,Caracas,Venezuela,2851,M80
01/01/2012,DL,2009,ATL,Atlanta,USA,3682,CCS,Caracas,Venezuela,2851,757
01/01/2012,9V,20004,BLA,Barcelona,Venezuela,2821,CCS,Caracas,Venezuela,2851,734 732
01/01/2012,9V,20004,BLA,Barcelona,Venezuela,2821,MIA,Miami,USA,3576,734
01/01/2012,9V,20004,BLA,Barcelona,Venezuela,2821,PMV,Porlamar,Venezuela,2850,732
01/01/2012,9V,20004,BLA,Barcelona,Venezuela,2821,PTY,Panama,Panama,1871,734
01/01/2012,9V,20004,BLA,Barcelona,Venezuela,2821,PZO,Guayana,Venezuela,2856,732
01/01/2012,9V,20004,BLA,Barcelona,Venezuela,2821,VLN,Valencia,Venezuela,2868,732
01/01/2012,QL,1206,BLA,Barcelona,Venezuela,2821,CCS,Caracas,Venezuela,2851,D93
01/01/2012,R7,622,BLA,Barcelona,Venezuela,2821,CCS,Caracas,Venezuela,2851,M80 DC9
01/01/2012,R7,622,BLA,Barcelona,Venezuela,2821,PZO,Guayana,Venezuela,2856,M80
01/01/2012,R7,622,BLA,Barcelona,Venezuela,2821,VLN,Valencia,Venezuela,2868,M80
01/01/2012,V0,1886,BLA,Barcelona,Venezuela,2821,CCS,Caracas,Venezuela,2851,ATR
01/01/2012,9V,20004,BNS,Barinas,Venezuela,2822,CCS,Caracas,Venezuela,2851,732
01/01/2012,V0,1886,BNS,Barinas,Venezuela,2822,CCS,Caracas,Venezuela,2851,CRJ ATR E90
