year,university,ranking-number
2023,ucab,751-800
2022,ucab,801-1000
2021,ucab,801-1000
2020,ucab,801-1000
2019,ucab,801-1000
2018,ucab,651-700
2016,ucab,601-650
2015,ucab,501-550
2014,ucab,471-480
2013,ucab,551-600
2023,ucv,701-750
2022,ucv,701-750
2021,ucv,751-800
2020,ucv,701-750
2019,ucv,751-800
2018,ucv,651-700
2017,ucv,651-700
2016,ucv,651-700
2015,ucv,601-650
2014,ucv,551-600
2013,ucv,551-600
2023,usb,801-1000
2022,usb,801-1000
2021,usb,801-1000
2020,usb,801-1000
2019,usb,801-100
2018,usb,751-800
2017,usb,701-750
2016,usb,701-750
2015,usb,701-750
2014,usb,601-650
2013,usb,651-700
2023,ula,801-1000
2022,ula,801-1000
2021,ula,801-1000
2020,ula,801-1000
2019,ula,801-1000
2018,ula,801-1000
2017,ula,701-750
2016,ula,701-750
2015,ula,701-750
2014,ula,701-750
2013,ula,701-750
2023,unimet,1201-1400
2022,unimet,1001-1200
2021,unimet,1001-1200
2019,unimet,801-1000
2018,unimet,801-1000
2017,unimet,701-750
2016,unimet,701-750
2015,unimet,701-750
2023,uc,1201-1400
2023,luz,1201-1400
