date,university,rankingnumber,average
2023,UCAB,751-800,775.5
2022,UCAB,801-1000,900.5
2021,UCAB,801-1000,900.5
2020,UCAB,801-1000,900.5
2019,UCAB,801-1000,900.5
2018,UCAB,651-700,675.5
2016,UCAB,601-650,625.5
2015,UCAB,501-550,525.5
2014,UCAB,471-480,475.5
2013,UCAB,551-600,576.5
2023,UCV,701-750,725.5
2022,UCV,701-750,725.5
2021,UCV,751-800,775.5
2020,UCV,701-750,725.5
2019,UCV,751-800,775.5
2018,UCV,651-700,675.5
2017,UCV,651-700,675.5
2016,UCV,651-700,675.5
2015,UCV,601-650,625.5
2014,UCV,551-600,576.5
2013,UCV,551-600,576.5
2023,USB,801-1000,900.5
2022,USB,801-1000,900.5
2021,USB,801-1000,900.5
2020,USB,801-1000,900.5
2019,USB,801-100,900.5
2018,USB,751-800,775.5
2017,USB,701-750,725.5
2016,USB,701-750,725.5
2015,USB,701-750,725.5
2014,USB,601-650,625.5
2013,USB,651-700,675.5
2023,ULA,801-1000,900.5
2022,ULA,801-1000,900.5
2021,ULA,801-1000,900.5
2020,ULA,801-1000,900.5
2019,ULA,801-1000,900.5
2018,ULA,801-1000,900.5
2017,ULA,701-750,725.5
2016,ULA,701-750,725.5
2015,ULA,701-750,725.5
2014,ULA,701-750,725.5
2013,ULA,701-750,725.5
2023,Unimet,1201-1400,1300.5
2022,Unimet,1001-1200,1100.5
2021,Unimet,1001-1200,1100.5
2019,Unimet,801-1000,900.5
2018,Unimet,801-1000,900.5
2017,Unimet,701-750,725.5
2016,Unimet,701-750,725.5
2015,Unimet,701-750,725.5
2023,UC,1201-1400,1300.5
2023,LUZ,1201-1400,1300.5
