date,university,rankingnumber,average
2023,UC,1201-1400,1300.5
2023,LUZ,1201-1400,1300.5
2023,UCV,701-750,725.5
2022,UCV,701-750,725.5
2021,UCV,751-800,775.5
2020,UCV,701-750,725.5
2019,UCV,751-800,775.5
2018,UCV,651-700,675.5
2017,UCV,651-700,675.5
2016,UCV,651-700,675.5
2015,UCV,601-650,625.5
2014,UCV,551-600,576.5
2013,UCV,551-600,576.5
2023,ULA,801-1000,900.5
2022,ULA,801-1000,900.5
2021,ULA,801-1000,900.5
2020,ULA,801-1000,900.5
2019,ULA,801-1000,900.5
2018,ULA,801-1000,900.5
2017,ULA,701-750,725.5
2016,ULA,701-750,725.5
2015,ULA,701-750,725.5
2014,ULA,701-750,725.5
2013,ULA,701-750,725.5
